,Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min,Dia
13846,Formosa do Sul,SC,31,15,56,27,22/8/2024
13847,Fortaleza de Minas,MG,30,14,59,22,22/8/2024
13848,Formosa do Rio Preto,BA,33,19,74,27,22/8/2024
13849,Formosa do Oeste,PR,34,19,46,19,22/8/2024
13850,Formosa da Serra Negra,MA,37,23,52,29,22/8/2024
13851,Fonte Boa,AM,33,22,93,48,22/8/2024
13852,Formiga,MG,29,15,81,23,22/8/2024
13853,Florínea,SP,35,18,59,20,22/8/2024
13854,Fontoura Xavier,RS,27,14,96,47,22/8/2024
13855,Formigueiro,RS,27,16,92,57,22/8/2024
13856,Flórida,PR,33,16,73,20,22/8/2024
13857,Florianópolis,SC,23,20,90,78,22/8/2024
13858,Florestópolis,PR,32,14,80,19,22/8/2024
13859,Floriano,PI,37,25,50,28,22/8/2024
13860,Florestal,MG,30,14,66,23,22/8/2024
13861,Floresta,PE,31,21,86,40,22/8/2024
13862,Floriano Peixoto,RS,28,15,86,42,22/8/2024
13863,Floresta,PR,36,23,38,14,22/8/2024
13864,Flores do Piauí,PI,36,23,67,30,22/8/2024
13865,Flores,PE,30,19,90,41,22/8/2024
13866,Flora Rica,SP,35,17,61,16,22/8/2024
13867,Floraí,PR,35,22,36,14,22/8/2024
13868,Flor da Serra do Sul,PR,29,16,52,26,22/8/2024
13869,Flores da Cunha,RS,28,17,89,32,22/8/2024
13870,Florânia,RN,34,22,78,38,22/8/2024
13871,Flórida Paulista,SP,35,17,76,16,22/8/2024
13872,Figueirão,MS,36,20,33,15,22/8/2024
13873,Firminópolis,GO,34,19,45,13,22/8/2024
13874,Figueira,PR,30,12,81,23,22/8/2024
13875,Ferros,MG,27,14,88,35,22/8/2024
13876,Ferreiros,PE,30,22,94,53,22/8/2024
13877,Fernando Prestes,SP,34,21,42,17,22/8/2024
13878,Ferraz de Vasconcelos,SP,31,15,68,21,22/8/2024
13879,Fernandópolis,SP,36,20,37,17,22/8/2024
13880,Ferreira Gomes,AP,34,23,98,50,22/8/2024
13881,Fernando Pedroza,RN,34,23,80,39,22/8/2024
13882,Fernandes Tourinho,MG,32,17,71,33,22/8/2024
13883,Fernandes Pinheiro,PR,29,14,83,29,22/8/2024
13884,Feliz Deserto,AL,29,21,90,67,22/8/2024
13885,Feira Nova do Maranhão,MA,37,21,64,27,22/8/2024
13886,Felixlândia,MG,32,15,64,21,22/8/2024
13887,Felipe Guerra,RN,36,23,82,32,22/8/2024
13888,Feira Nova,SE,30,19,100,51,22/8/2024
13889,Feira Nova,PE,29,22,94,63,22/8/2024
13890,Feira Grande,AL,28,21,98,61,22/8/2024
13891,Feira de Santana,BA,28,19,100,70,22/8/2024
13892,Feijó,AC,36,23,94,46,22/8/2024
13893,Fazenda Vilanova,RS,31,15,90,42,22/8/2024
13894,Faxinalzinho,RS,30,16,69,33,22/8/2024
13895,Faxinal do Soturno,RS,28,14,92,56,22/8/2024
13896,Fátima do Sul,MS,37,21,46,19,22/8/2024
13897,Fartura do Piauí,PI,35,20,76,32,22/8/2024
13898,Faria Lemos,MG,27,14,72,28,22/8/2024
13899,Fátima,BA,30,20,96,55,22/8/2024
13900,Fartura,SP,30,13,100,23,22/8/2024
13901,Farol,PR,31,16,58,21,22/8/2024
13902,Faro,PA,34,26,91,43,22/8/2024
13903,Faina,GO,35,21,37,14,22/8/2024
13904,Fagundes Varela,RS,28,14,90,43,22/8/2024
13905,Ewbank da Câmara,MG,28,12,77,26,22/8/2024
13906,Exu,PE,31,18,90,40,22/8/2024
13907,Eusébio,CE,33,24,89,59,22/8/2024
13908,Eugenópolis,MG,31,15,100,36,22/8/2024
13909,Eugênio de Castro,RS,27,17,88,44,22/8/2024
13910,Extremoz,RN,29,22,91,60,22/8/2024
13911,Extrema,MG,29,15,67,32,22/8/2024
13912,Estrela do Norte,SP,34,16,78,17,22/8/2024
13913,Estrela Velha,RS,26,14,92,58,22/8/2024
13914,Estrela,RS,25,20,82,50,22/8/2024
13915,Estrela do Indaiá,MG,30,13,58,21,22/8/2024
13916,Estrela do Norte,GO,34,18,48,17,22/8/2024
13917,Euclides da Cunha,BA,29,18,100,50,22/8/2024
13918,Estreito,MA,38,23,61,22,22/8/2024
13919,Estiva,MG,29,13,54,24,22/8/2024
13920,Estiva Gerbi,SP,31,15,57,19,22/8/2024
13921,Estância,SE,28,22,95,68,22/8/2024
13922,Esteio,RS,27,21,72,46,22/8/2024
13923,Estância Velha,RS,23,16,91,72,22/8/2024
13924,Espumoso,RS,26,15,95,52,22/8/2024
13925,Estação,RS,27,15,88,42,22/8/2024
13926,Espírito Santo do Turvo,SP,31,13,73,19,22/8/2024
13927,Espírito Santo do Pinhal,SP,30,16,59,22,22/8/2024
13928,Espírito Santo do Dourado,MG,28,13,59,24,22/8/2024
13929,Espigão Alto do Iguaçu,PR,30,15,68,31,22/8/2024
13930,Espinosa,MG,29,16,88,29,22/8/2024
13931,Esperantinópolis,MA,35,23,94,40,22/8/2024
13932,Esperantina,PI,38,23,85,26,22/8/2024
13933,Esperança do Sul,RS,32,18,67,32,22/8/2024
13934,Escada,PE,28,21,96,64,22/8/2024
13935,Esmeraldas,MG,30,16,77,27,22/8/2024
13936,Espera Feliz,MG,27,14,93,27,22/8/2024
13937,Esperança,PB,28,19,96,50,22/8/2024
13938,Erval Velho,SC,28,13,84,38,22/8/2024
13939,Erval Seco,RS,29,18,69,34,22/8/2024
13940,Ernestina,RS,26,16,92,50,22/8/2024
13941,Erechim,RS,28,17,79,44,22/8/2024
13942,Encantado,RS,28,17,90,52,22/8/2024
13943,Érico Cardoso,BA,28,15,90,39,22/8/2024
13944,Embu-Guaçu,SP,29,14,87,35,22/8/2024
13945,Emas,PB,35,21,80,36,22/8/2024
13946,Ererê,CE,36,23,77,33,22/8/2024
13947,Embu das Artes,SP,30,14,78,26,22/8/2024
13948,Encanto,RN,35,23,78,34,22/8/2024
13949,Elísio Medrado,BA,26,19,98,69,22/8/2024
13950,Elói Mendes,MG,31,14,60,20,22/8/2024
13951,Eliseu Martins,PI,37,22,64,27,22/8/2024
13952,Eldorado dos Carajás,PA,36,22,70,30,22/8/2024
13953,Elesbão Veloso,PI,34,22,28,0,22/8/2024
13954,Eldorado,SP,28,18,100,54,22/8/2024
13955,Edéia,GO,34,19,45,13,22/8/2024
13956,Durandé,MG,29,14,72,28,22/8/2024
13957,Eldorado do Sul,RS,27,19,80,55,22/8/2024
13958,Eirunepé,AM,34,23,98,52,22/8/2024
13959,Ecoporanga,ES,28,18,97,49,22/8/2024
13960,Duas Estradas,PB,31,22,93,51,22/8/2024
13961,Duque Bacelar,MA,36,23,96,37,22/8/2024
13962,Duartina,SP,33,17,62,23,22/8/2024
13963,Dracena,SP,37,21,38,14,22/8/2024
13964,Doutor Ulysses,PR,28,13,98,33,22/8/2024
13965,Duque de Caxias,RJ,30,17,98,48,22/8/2024
13966,Duerê,TO,37,20,43,21,22/8/2024
13967,Doutor Severiano,RN,35,23,79,35,22/8/2024
13968,Douradoquara,MG,32,16,51,25,22/8/2024
13969,Dourado,SP,32,15,58,19,22/8/2024
13970,Douradina,MS,38,21,47,17,22/8/2024
13971,Douradina,PR,34,17,65,19,22/8/2024
13972,Doutor Ricardo,RS,29,14,97,44,22/8/2024
13973,Doutor Pedrinho,SC,22,13,100,68,22/8/2024
13974,Dormentes,PE,32,19,88,39,22/8/2024
13975,Dores do Rio Preto,ES,27,13,79,29,22/8/2024
13976,Dores do Indaiá,MG,31,15,64,23,22/8/2024
13977,Dona Inês,PB,30,23,93,49,22/8/2024
13978,Dona Francisca,RS,28,14,93,53,22/8/2024
13979,Doresópolis,MG,30,15,75,24,22/8/2024
13980,Dona Emma,SC,25,15,100,69,22/8/2024
13981,Dores de Campos,MG,28,13,63,25,22/8/2024
13982,Domingos Martins,ES,27,14,86,44,22/8/2024
13983,Dom Viçoso,MG,27,11,66,21,22/8/2024
13984,Dom Silvério,MG,30,14,71,29,22/8/2024
13985,Dom Pedro,MA,36,23,91,38,22/8/2024
13986,Dom Feliciano,RS,22,16,93,75,22/8/2024
13987,Dom Joaquim,MG,30,12,71,30,22/8/2024
13988,Dom Macedo Costa,BA,28,19,100,58,22/8/2024
13989,Dom Expedito Lopes,PI,35,23,70,32,22/8/2024
13990,Dom Pedro de Alcântara,RS,25,16,98,69,22/8/2024
13991,Dom Eliseu,PA,34,22,87,40,22/8/2024
13992,Dom Bosco,MG,33,17,60,23,22/8/2024
13993,Dois Irmãos do Buriti,MS,38,20,52,17,22/8/2024
13994,Dom Basílio,BA,30,15,96,39,22/8/2024
13995,Dom Aquino,MT,37,20,36,12,22/8/2024
13996,Dois Vizinhos,PR,32,21,50,23,22/8/2024
13997,Dois Riachos,AL,29,20,100,52,22/8/2024
13998,Dois Irmãos do Tocantins,TO,38,19,54,20,22/8/2024
13999,Dobrada,SP,32,15,51,18,22/8/2024
14000,Divinópolis do Tocantins,TO,37,20,53,20,22/8/2024
14001,Divinópolis de Goiás,GO,33,18,58,21,22/8/2024
14002,Dois Irmãos,RS,27,21,72,46,22/8/2024
14003,Dois Córregos,SP,33,18,48,19,22/8/2024
14004,Divinópolis,MG,31,15,83,24,22/8/2024
14005,Divinolândia,SP,28,12,67,24,22/8/2024
14006,Divisa Alegre,MG,27,14,93,39,22/8/2024
14007,Divino de São Lourenço,ES,26,13,79,30,22/8/2024
14008,Divino das Laranjeiras,MG,31,17,82,33,22/8/2024
14009,Divino,MG,25,14,94,28,22/8/2024
14010,Divina Pastora,SE,29,20,96,60,22/8/2024
14011,Dionísio,MG,30,15,71,31,22/8/2024
14012,Dilermando de Aguiar,RS,27,15,91,58,22/8/2024
14013,Dionísio Cerqueira,SC,31,18,51,27,22/8/2024
14014,Dias D'Ávila,BA,28,20,93,57,22/8/2024
14015,Diorama,GO,34,19,37,16,22/8/2024
14016,Dianópolis,TO,34,18,59,21,22/8/2024
14017,Diamante d'Oeste,PR,34,21,42,21,22/8/2024
14018,Diamantino,MT,38,23,45,19,22/8/2024
14019,Desterro do Melo,MG,27,13,68,27,22/8/2024
14020,Diadema,SP,30,14,86,31,22/8/2024
14021,Dezesseis de Novembro,RS,32,19,81,40,22/8/2024
14022,Desterro,PB,29,18,97,46,22/8/2024
14023,Desterro de Entre Rios,MG,28,13,76,25,22/8/2024
14024,Derrubadas,RS,32,18,64,31,22/8/2024
14025,Descanso,SC,32,18,51,28,22/8/2024
14026,Deodápolis,MS,37,22,43,17,22/8/2024
14027,Diamante,PB,33,21,84,37,22/8/2024
14028,Demerval Lobão,PI,36,24,67,33,22/8/2024
14029,Delfinópolis,MG,32,15,51,19,22/8/2024
14030,Delfim Moreira,MG,24,11,75,44,22/8/2024
14031,Davinópolis,MA,37,23,72,29,22/8/2024
14032,David Canabarro,RS,26,15,90,43,22/8/2024
14033,Datas,MG,27,12,85,29,22/8/2024
14034,Dário Meira,BA,29,16,100,49,22/8/2024
14035,Damianópolis,GO,32,15,65,21,22/8/2024
14036,Darcinópolis,TO,37,22,58,26,22/8/2024
14037,Damião,PB,29,20,94,50,22/8/2024
14038,Curvelo,MG,31,18,69,27,22/8/2024
14039,Curvelândia,MT,38,19,42,16,22/8/2024
14040,Cururupu,MA,31,24,94,61,22/8/2024
14041,Curuá,PA,34,26,79,46,22/8/2024
14042,Custódia,PE,31,18,94,41,22/8/2024
14043,Curralinhos,PI,36,25,62,32,22/8/2024
14044,Curral Novo do Piauí,PI,33,21,82,37,22/8/2024
14045,Currais Novos,RN,32,22,86,46,22/8/2024
14046,Curral Velho,PB,32,20,85,39,22/8/2024
14047,Curral de Dentro,MG,28,13,89,29,22/8/2024
14048,Curiúva,PR,29,12,90,28,22/8/2024
14049,Curitibanos,SC,25,12,99,47,22/8/2024
14050,Curitiba,PR,28,14,90,30,22/8/2024
14051,Curionópolis,PA,35,22,70,36,22/8/2024
14052,Curimatá,PI,36,20,70,27,22/8/2024
14053,Curaçá,BA,32,20,87,37,22/8/2024
14054,Cumbe,SE,30,20,98,53,22/8/2024
14055,Cumaru,PE,28,19,98,58,22/8/2024
14056,Cunha,SP,26,11,95,39,22/8/2024
14057,Cunha Porã,SC,32,18,53,26,22/8/2024
14058,Cumari,GO,32,16,52,19,22/8/2024
14059,Cuitegi,PB,30,21,94,50,22/8/2024
14060,Cubatão,SP,27,18,82,63,22/8/2024
14061,Cubati,PB,29,19,95,46,22/8/2024
14062,Cuiabá,MT,40,24,39,17,22/8/2024
14063,Cuité,PB,29,19,94,47,22/8/2024
14064,Cruzília,MG,28,13,66,22,22/8/2024
14065,Cruzeiro do Sul,PR,33,15,78,20,22/8/2024
14066,Cruzeta,RN,34,22,80,38,22/8/2024
14067,Cruzeiro do Sul,AC,34,23,93,49,22/8/2024
14068,Cruzeiro da Fortaleza,MG,30,15,55,23,22/8/2024
14069,Cruzaltense,RS,29,16,80,38,22/8/2024
14070,Cruzeiro do Iguaçu,PR,32,17,65,30,22/8/2024
14071,Cruzália,SP,33,14,81,17,22/8/2024
14072,Cruz Machado,PR,29,14,83,26,22/8/2024
14073,Cruz,CE,33,23,89,44,22/8/2024
14074,Crucilândia,MG,30,14,72,25,22/8/2024
14075,Cristinápolis,SE,30,19,97,54,22/8/2024
14076,Cromínia,GO,33,18,47,16,22/8/2024
14077,Cristópolis,BA,33,17,81,26,22/8/2024
14078,Cristiano Otoni,MG,28,13,68,27,22/8/2024
14079,Croatá,CE,31,20,89,42,22/8/2024
14080,Crixás,GO,36,19,44,15,22/8/2024
14081,Cristino Castro,PI,36,21,64,27,22/8/2024
14082,Cristianópolis,GO,32,16,46,16,22/8/2024
14083,Cristalina,GO,29,16,55,24,22/8/2024
14084,Crissiumal,RS,25,16,91,51,22/8/2024
14085,Crisópolis,BA,29,20,99,62,22/8/2024
14086,Cristália,MG,29,13,82,28,22/8/2024
14087,Cravolândia,BA,25,15,100,57,22/8/2024
14088,Cristal,RS,25,17,90,73,22/8/2024
14089,Cristal do Sul,RS,30,18,74,36,22/8/2024
14090,Criciúma,SC,33,19,67,33,22/8/2024
14091,Cristalândia do Piauí,PI,34,19,69,26,22/8/2024
14092,Cravinhos,SP,33,15,52,19,22/8/2024
14093,Crateús,CE,36,24,82,32,22/8/2024
14094,Crato,CE,32,19,87,36,22/8/2024
14095,Coxixola,PB,30,19,94,44,22/8/2024
14096,Craíbas,AL,29,19,100,53,22/8/2024
14097,Coxim,MS,37,23,36,14,22/8/2024
14098,Coxilha,RS,27,16,88,43,22/8/2024
14099,Cotriguaçu,MT,37,23,63,26,22/8/2024
14100,Couto de Magalhães,TO,38,20,60,22,22/8/2024
14101,Cotegipe,BA,34,18,74,25,22/8/2024
14102,Cotiporã,RS,29,14,90,44,22/8/2024
14103,Costa Marques,RO,38,24,76,35,22/8/2024
14104,Cotia,SP,30,14,78,26,22/8/2024
14105,Costa Rica,MS,35,20,37,14,22/8/2024
14106,Corupá,SC,23,15,100,65,22/8/2024
14107,Cosmópolis,SP,33,18,54,19,22/8/2024
14108,Corumbaíba,GO,33,17,49,18,22/8/2024
14109,Cosmorama,SP,36,20,42,17,22/8/2024
14110,Corumbiara,RO,38,22,60,22,22/8/2024
14111,Corumbá de Goiás,GO,30,16,53,17,22/8/2024
14112,Coruripe,AL,29,22,90,67,22/8/2024
14113,Corumbataí do Sul,PR,32,14,69,20,22/8/2024
14114,Correia Pinto,SC,23,13,100,59,22/8/2024
14115,Correntina,BA,32,17,70,23,22/8/2024
14116,Córrego Danta,MG,30,15,67,24,22/8/2024
14117,Córrego do Ouro,GO,34,19,42,15,22/8/2024
14118,Córrego Novo,MG,32,16,74,27,22/8/2024
14119,Correntes,PE,25,18,100,66,22/8/2024
14120,Coronel Xavier Chaves,MG,28,13,64,24,22/8/2024
14121,Corrente,PI,34,19,68,26,22/8/2024
14122,Coronel Vivida,PR,31,14,82,31,22/8/2024
14123,Coronel Martins,SC,30,14,55,28,22/8/2024
14124,Coronel Pilar,RS,29,14,91,44,22/8/2024
14125,Coronel Sapucaia,MS,34,21,70,22,22/8/2024
14126,Coronel Pacheco,MG,29,13,77,25,22/8/2024
14127,Coronel Macedo,SP,31,12,100,23,22/8/2024
14128,Coronel João Pessoa,RN,34,22,82,36,22/8/2024
14129,Coronel Murta,MG,31,14,77,21,22/8/2024
14130,Coronel José Dias,PI,34,21,80,33,22/8/2024
14131,Coronel Fabriciano,MG,30,15,78,33,22/8/2024
14132,Coronel João Sá,BA,30,19,100,50,22/8/2024
14133,Coronel Freitas,SC,31,16,56,26,22/8/2024
14134,Coronel Ezequiel,RN,30,19,94,46,22/8/2024
14135,Coronel Domingos Soares,PR,27,11,99,34,22/8/2024
14136,Coronel Bicaco,RS,28,18,74,40,22/8/2024
14137,Coronel Barros,RS,28,17,86,43,22/8/2024
14138,Coromandel,MG,30,15,62,28,22/8/2024
14139,Coroatá,MA,35,23,96,42,22/8/2024
14140,Coroaci,MG,27,15,86,46,22/8/2024
14141,Coroados,SP,34,15,70,16,22/8/2024
14142,Coremas,PB,35,22,77,34,22/8/2024
14143,Coribe,BA,32,18,77,25,22/8/2024
14144,Cornélio Procópio,PR,34,18,56,19,22/8/2024
14145,Corinto,MG,32,15,54,20,22/8/2024
14146,Corguinho,MS,38,18,49,15,22/8/2024
14147,Coreaú,CE,35,21,97,40,22/8/2024
14148,Cordilheira Alta,SC,30,16,57,27,22/8/2024
14149,Cordisburgo,MG,33,19,41,0,22/8/2024
14150,Corbélia,PR,32,19,48,21,22/8/2024
14151,Cordeiro,RJ,28,14,63,32,22/8/2024
14152,Cordeirópolis,SP,32,11,100,19,22/8/2024
14153,Coqueiro Seco,AL,28,21,93,67,22/8/2024
14154,Coqueiral,MG,28,14,83,25,22/8/2024
14155,Coração de Maria,BA,28,18,100,56,22/8/2024
14156,Coqueiro Baixo,RS,29,14,96,49,22/8/2024
14157,Conselheiro Pena,MG,29,16,88,40,22/8/2024
14158,Conquista,MG,32,17,47,19,22/8/2024
14159,Conquista D'Oeste,MT,35,22,47,23,22/8/2024
14160,Constantina,RS,29,18,70,35,22/8/2024
14161,Contagem,MG,29,14,91,25,22/8/2024
14162,Conselheiro Lafaiete,MG,27,12,93,37,22/8/2024
14163,Congonhas,MG,28,13,73,27,22/8/2024
14164,Contendas do Sincorá,BA,31,19,96,40,22/8/2024
14165,Conselheiro Mairinck,PR,31,12,91,21,22/8/2024
14166,Cônego Marinho,MG,32,18,87,20,22/8/2024
14167,Confins,MG,30,14,74,26,22/8/2024
14168,Conde,BA,28,21,96,60,22/8/2024
14169,Condado,PB,35,22,81,36,22/8/2024
14170,Condeúba,BA,28,15,99,39,22/8/2024
14171,Concórdia,SC,31,20,54,25,22/8/2024
14172,Confresa,MT,39,23,46,21,22/8/2024
14173,Condado,PE,30,22,94,57,22/8/2024
14174,Conceição do Rio Verde,MG,30,13,59,20,22/8/2024
14175,Conceição do Mato Dentro,MG,28,15,82,33,22/8/2024
14176,Conchas,SP,33,12,100,20,22/8/2024
14177,Conceição do Lago Açu,MA,34,24,93,46,22/8/2024
14178,Conchal,SP,32,13,78,19,22/8/2024
14179,Conceição do Coité,BA,30,19,100,46,22/8/2024
14180,Conceição do Jacuípe,BA,28,19,100,57,22/8/2024
14181,Conceição de Macabu,RJ,27,15,89,48,22/8/2024
14182,Conceição de Ipanema,MG,30,15,74,32,22/8/2024
14183,Conceição do Castelo,ES,27,13,100,38,22/8/2024
14184,Conceição das Alagoas,MG,34,19,48,21,22/8/2024
14185,Conceição da Feira,BA,28,19,100,60,22/8/2024
14186,Conceição do Almeida,BA,28,19,100,59,22/8/2024
14187,Conceição da Barra,ES,29,20,100,69,22/8/2024
14188,Colônia do Piauí,PI,37,24,64,31,22/8/2024
14189,Colorado,RS,28,17,89,49,22/8/2024
14190,Colombo,PR,27,14,90,35,22/8/2024
14191,Colônia Leopoldina,AL,27,20,99,62,22/8/2024
14192,Comercinho,MG,30,14,87,29,22/8/2024
14193,Colorado,PR,36,21,40,14,22/8/2024
14194,Colômbia,SP,34,17,61,17,22/8/2024
14195,Colinas,MA,36,22,73,33,22/8/2024
14196,Colinas,RS,25,19,82,49,22/8/2024
14197,Colider,MT,37,21,59,24,22/8/2024
14198,Colinas do Tocantins,TO,37,20,50,22,22/8/2024
14199,Colares,PA,33,25,94,61,22/8/2024
14200,Coivaras,PI,37,25,75,34,22/8/2024
14201,Colméia,TO,37,20,55,21,22/8/2024
14202,Coité do Nóia,AL,28,19,100,56,22/8/2024
14203,Coelho Neto,MA,36,23,96,37,22/8/2024
14204,Codajás,AM,37,24,82,35,22/8/2024
14205,Cocalinho,MT,36,19,42,16,22/8/2024
14206,Cocal dos Alves,PI,36,23,82,34,22/8/2024
14207,Cocos,BA,32,14,86,21,22/8/2024
14208,Coari,AM,37,25,90,40,22/8/2024
14209,Cocal de Telha,PI,37,23,90,33,22/8/2024
14210,Cocal,PI,36,22,89,36,22/8/2024
14211,Coaraci,BA,29,16,100,47,22/8/2024
14212,Cidade Ocidental,GO,30,15,53,19,22/8/2024
14213,Claro dos Poções,MG,30,14,78,23,22/8/2024
14214,Cidade Gaúcha,PR,36,21,40,13,22/8/2024
14215,Cidreira,RS,25,17,85,61,22/8/2024
14216,Cláudio,MG,31,14,66,23,22/8/2024
14217,Cidelândia,MA,37,25,68,31,22/8/2024
14218,Ciríaco,RS,27,14,89,45,22/8/2024
14219,Chorrochó,BA,32,20,88,37,22/8/2024
14220,Chupinguaia,RO,37,23,67,28,22/8/2024
14221,Chuí,RS,18,13,95,78,22/8/2024
14222,Chuvisca,RS,25,15,96,70,22/8/2024
14223,Chiapeta,RS,24,17,41,0,22/8/2024
14224,Chiador,MG,30,12,94,26,22/8/2024
14225,Chopinzinho,PR,30,17,57,34,22/8/2024
14226,Chavantes,SP,32,13,100,21,22/8/2024
14227,Chaval,CE,35,23,93,48,22/8/2024
14228,Chapecó,SC,29,19,73,39,22/8/2024
14229,Charqueadas,RS,27,20,76,51,22/8/2024
14230,Chapadão do Lageado,SC,22,13,100,61,22/8/2024
14231,Chapada,RS,25,12,95,38,22/8/2024
14232,Chapada Gaúcha,MG,32,16,82,20,22/8/2024
14233,Chapadão do Céu,GO,34,17,36,14,22/8/2024
14234,Chapada do Norte,MG,31,14,76,22,22/8/2024
14235,Chapada da Areia,TO,37,21,50,20,22/8/2024
14236,Chã de Alegria,PE,29,21,93,59,22/8/2024
14237,Chácara,MG,27,15,95,27,22/8/2024
14238,Cesário Lange,SP,32,13,100,21,22/8/2024
14239,Chã Preta,AL,26,19,100,65,22/8/2024
14240,Cerro Largo,RS,31,19,78,37,22/8/2024
14241,Cerro Negro,SC,29,14,95,22,22/8/2024
14242,Cerro Grande do Sul,RS,25,14,100,68,22/8/2024
14243,Cerro Grande,RS,29,17,89,47,22/8/2024
14244,Cerro Branco,RS,29,15,89,52,22/8/2024
14245,Cerro Azul,PR,31,16,97,38,22/8/2024
14246,Cerqueira César,SP,30,14,81,21,22/8/2024
14247,Cerrito,RS,22,13,100,87,22/8/2024
14248,Central,BA,32,19,88,33,22/8/2024
14249,Ceres,GO,35,19,41,17,22/8/2024
14250,Centro do Guilherme,MA,34,24,95,49,22/8/2024
14251,Centralina,MG,33,19,49,17,22/8/2024
14252,Centenário do Sul,PR,33,15,78,18,22/8/2024
14253,Central de Minas,MG,29,18,92,45,22/8/2024
14254,Central do Maranhão,MA,32,24,91,61,22/8/2024
14255,Cedro do Abaeté,MG,31,15,58,23,22/8/2024
14256,Centenário,RS,29,15,89,30,22/8/2024
14257,Cedro,PE,31,19,90,40,22/8/2024
14258,Cedro,CE,36,23,74,33,22/8/2024
14259,Cedral,MA,30,25,91,69,22/8/2024
14260,Ceará-Mirim,RN,29,23,95,60,22/8/2024
14261,Celso Ramos,SC,28,14,91,35,22/8/2024
14262,Caxingó,PI,36,23,92,40,22/8/2024
14263,Caxias do Sul,RS,28,16,86,44,22/8/2024
14264,Caxias,MA,39,23,91,33,22/8/2024
14265,Caturama,BA,31,16,90,32,22/8/2024
14266,Caucaia,CE,32,25,86,58,22/8/2024
14267,Caxambu,MG,29,14,53,19,22/8/2024
14268,Cavalcante,GO,31,16,63,21,22/8/2024
14269,Caturaí,GO,32,17,49,15,22/8/2024
14270,Caturité,PB,29,19,97,47,22/8/2024
14271,Catu,BA,29,19,100,60,22/8/2024
14272,Catolé do Rocha,PB,35,22,81,34,22/8/2024
14273,Catunda,CE,33,21,86,39,22/8/2024
14274,Catolândia,BA,34,16,81,25,22/8/2024
14275,Catingueira,PB,34,21,81,37,22/8/2024
14276,Catuípe,RS,28,17,84,42,22/8/2024
14277,Catanduvas,SC,29,14,68,35,22/8/2024
14278,Catalão,GO,32,17,48,23,22/8/2024
14279,Catiguá,SP,33,16,45,17,22/8/2024
14280,Catanduvas,PR,30,17,51,24,22/8/2024
14281,Catas Altas,MG,28,13,76,33,22/8/2024
14282,Catas Altas da Noruega,MG,27,13,90,29,22/8/2024
14283,Catanduva,SP,35,20,46,16,22/8/2024
14284,Cataguases,MG,31,18,96,28,22/8/2024
14285,Castro,PR,28,12,77,27,22/8/2024
14286,Catarina,CE,34,22,83,33,22/8/2024
14287,Castilho,SP,37,22,39,13,22/8/2024
14288,Castelo do Piauí,PI,37,23,75,31,22/8/2024
14289,Castro Alves,BA,28,19,100,60,22/8/2024
14290,Castanheiras,RO,38,23,71,26,22/8/2024
14291,Castelo,ES,29,16,84,27,22/8/2024
14292,Castelândia,GO,34,17,46,14,22/8/2024
14293,Cássia dos Coqueiros,SP,31,16,57,22,22/8/2024
14294,Cassilândia,MS,35,18,48,16,22/8/2024
14295,Castanheira,MT,37,21,52,25,22/8/2024
14296,Castanhal,PA,34,24,93,44,22/8/2024
14297,Cássia,MG,30,15,61,23,22/8/2024
14298,Casserengue,PB,28,21,95,60,22/8/2024
14299,Casinhas,PE,28,20,96,50,22/8/2024
14300,Caseara,TO,38,19,69,29,22/8/2024
14301,Casimiro de Abreu,RJ,30,17,92,43,22/8/2024
14302,Cascavel,CE,31,24,88,59,22/8/2024
14303,Cascalho Rico,MG,30,16,53,24,22/8/2024
14304,Caseiros,RS,26,15,92,43,22/8/2024
14305,Casa Branca,SP,29,18,58,20,22/8/2024
14306,Casa Nova,BA,32,20,83,37,22/8/2024
14307,Casa Grande,MG,28,13,79,27,22/8/2024
14308,Cascavel,PR,31,21,50,29,22/8/2024
14309,Carvalhos,MG,27,11,61,26,22/8/2024
14310,Carvalhópolis,MG,31,13,58,20,22/8/2024
14311,Carutapera,MA,31,25,92,63,22/8/2024
14312,Caroebe,RR,36,23,88,41,22/8/2024
14313,Carpina,PE,29,21,95,53,22/8/2024
14314,Carolina,MA,38,22,63,24,22/8/2024
14315,Caruaru,PE,26,19,98,59,22/8/2024
14316,Carrancas,MG,28,12,74,24,22/8/2024
14317,Carrasco Bonito,TO,37,24,73,29,22/8/2024
14318,Carneiros,AL,30,20,100,51,22/8/2024
14319,Carrapateira,PB,35,22,78,35,22/8/2024
14320,Carnaubeira da Penha,PE,31,19,89,40,22/8/2024
14321,Carmópolis de Minas,MG,30,14,69,24,22/8/2024
14322,Carnaíba,PE,30,18,91,43,22/8/2024
14323,Carnaúba dos Dantas,RN,31,20,86,42,22/8/2024
14324,Carnaubal,CE,31,19,91,43,22/8/2024
14325,Carmópolis,SE,29,20,100,57,22/8/2024
14326,Carneirinho,MG,35,19,37,17,22/8/2024
14327,Carnaubais,RN,35,23,83,38,22/8/2024
14328,Carmolândia,TO,37,21,59,24,22/8/2024
14329,Carmo da Cachoeira,MG,30,15,61,20,22/8/2024
14330,Carmo do Rio Claro,MG,28,13,81,25,22/8/2024
14331,Carmésia,MG,29,13,75,32,22/8/2024
14332,Carlos Gomes,RS,30,16,85,29,22/8/2024
