,Cidade,Estado,AreaUrbana
406,Ouro Preto,MG,22.6879
407,Goianira,GO,22.6247
408,Ibirité,MG,22.6038
409,Guaíba,RS,22.6015
410,Rolândia,PR,22.5915
411,Cianorte,PR,22.5541
412,Pontal do Paraná,PR,22.457
413,Alta Floresta,MT,22.427
414,União da Vitória,PR,22.3538
415,Patrocínio,MG,22.3492
416,Triunfo,RS,22.327
417,Goianésia,GO,22.2854
418,Franco da Rocha,SP,22.1636
419,Maravilha,AL,22.1453
420,Porto Feliz,SP,22.0612
421,Beberibe,CE,22.0407
422,Araçoiaba da Serra,SP,22.0261
423,Marituba,,21.9357
424,Araquari,SC,21.7632
425,Russas,CE,21.7333
426,Marechal Cândido Rondon,PR,21.6455
427,São José de Mipibu,RN,21.6176
428,Caçador,SC,21.6114
429,Três Corações,MG,21.5644
430,Biguaçu,SC,21.5415
431,Guaratuba,PR,21.5353
432,Japeri,RJ,21.486
433,Cristalina,GO,21.4763
434,Colatina,ES,21.4051
435,Palmeira dos Índios,AL,21.3853
436,Serrinha,,21.3642
437,Itabirito,MG,21.3109
438,Amparo,SP,21.3069
439,Bebedouro,SP,21.2908
440,João Monlevade,MG,21.2747
441,Nísia Floresta,RN,21.2663
442,Vespasiano,MG,21.1769
443,Benevides,,21.1263
444,Alexânia,GO,21.0877
445,Itapoá,SC,21.0397
446,Campo Bom,RS,20.997
447,Telêmaco Borba,PR,20.9576
448,Ubá,MG,20.7649
449,Bacabal,MA,20.7589
450,Cajamar,SP,20.6623
451,São João da Barra,RJ,20.6428
452,Santo Antônio da Patrulha,RS,20.6402
453,Barbalha,CE,20.6395
454,Socorro,SP,20.6347
455,Itabaiana,SE,20.6268
456,Irecê,,20.6004
457,Tucuruí,,20.5742
458,Moju,,20.5046
459,Lençóis Paulista,SP,20.4835
460,Itapeva,SP,20.4743
461,Xangri-lá,RS,20.4583
462,Jacobina,,20.3857
463,Juatuba,MG,20.2933
464,Matinhos,PR,20.2637
465,Barra do Piraí,RJ,20.2545
466,Unaí,MG,20.1763
467,Gramado,RS,20.1621
468,Xanxerê,SC,20.1463
469,Sapiranga,RS,20.1252
470,Piripiri,PI,20.0969
471,Alegrete,RS,20.0256
472,Canela,RS,19.9955
473,Pirapora,MG,19.9844
474,Horizonte,CE,19.9622
475,Francisco Morato,SP,19.9368
476,Taquara,RS,19.9304
477,Itaperuna,RJ,19.9217
478,Penápolis,SP,19.9172
479,Itacoatiara,AM,19.8693
480,Lorena,SP,19.828
481,Aracati,CE,19.8259
482,Conde,PB,19.8127
483,Estância,SE,19.7564
484,Oriximiná,,19.7324
485,São Sebastião do Paraíso,MG,19.7157
486,Santa Inês,MA,19.6721
487,Nova Odessa,SP,19.6365
488,Itajubá,MG,19.5058
489,Várzea Paulista,SP,19.4947
490,Iguatu,CE,19.4588
491,Tupã,SP,19.4398
492,São Lourenço da Mata,PE,19.412
493,Campo Novo do Parecis,MT,19.3415
494,Igarapé,MG,19.3249
495,Salinópolis,,19.2688
496,Floriano,PI,19.1155
497,Santo Estêvão,,19.043
498,Abreu e Lima,PE,18.9961
499,Monte Mor,SP,18.9921
500,Santana,AP,18.9743
501,Paracatu,MG,18.9494
502,Teutônia,RS,18.949
503,Patos,PB,18.9321
504,Codó,MA,18.9259
505,Tianguá,CE,18.8844
506,Nova Serrana,MG,18.7957
507,Pedro Leopoldo,MG,18.783
508,São Borja,RS,18.7755
509,Dias d'Ávila,,18.7195
510,São Félix do Xingu,,18.6927
511,Armação dos Búzios,RJ,18.6917
512,Mirassol,SP,18.6553
513,Barra Velha,SC,18.6543
514,Braço do Norte,SC,18.6149
515,Taboão da Serra,SP,18.6092
516,Paracuru,CE,18.6007
517,Conceição do Coité,,18.5705
518,Serra do Ramalho,,18.3722
519,São Gabriel,RS,18.3058
520,Paraty,RJ,18.2792
521,Ibiporã,PR,18.2711
522,Medianeira,PR,18.2538
523,Formiga,MG,18.2537
524,Viçosa,MG,18.227
525,Nova Petrópolis,RS,18.1868
526,Guaxupé,MG,18.1444
527,Estância Velha,RS,18.1386
528,Cidade Ocidental,GO,18.1297
529,Timóteo,MG,18.1272
530,Santo Antônio do Descoberto,GO,18.1245
531,Itaporanga d'Ajuda,SE,18.1063
532,Imbé,RS,18.0855
533,Alfenas,MG,17.9992
534,Paraíso do Tocantins,TO,17.9521
535,Ferraz de Vasconcelos,SP,17.9475
536,Hidrolândia,GO,17.7946
537,Parintins,AM,17.7885
538,Guararema,SP,17.7772
539,Nova Viçosa,,17.7602
